Channel_name,Subscribers,Views,Total_videos,Published_date
Alex The Analyst,180000,6934260,133,2020-01-08 05:04:24.970712+00:00
Shashank Kalanithi,75800,2994913,102,2011-10-01 21:44:24+00:00
StrataScratch,24800,732215,83,2019-05-27 18:14:27+00:00
Seattle Data Guy,23200,1070365,119,2017-01-27 06:50:30+00:00
Luke Barousse,142000,7056821,71,2020-08-03 09:02:41.213077+00:00
techTFQ,52800,2161339,52,2020-06-13 05:20:37.182391+00:00
Tina Huang,275000,9870133,86,2013-08-28 18:05:17+00:00
Keith Galli,150000,9765493,70,2016-12-27 20:18:51+00:00
Data Professor,111000,2641506,267,2019-08-17 15:59:56+00:00
Ken Jee,191000,5877384,227,2014-02-28 14:58:24+00:00
